n,d,n_circuit,n_gen,risk,cost
3,5,4,30,0.0010007969999999,0.6193476387535839
3,6,4,30,0.0001028744999999,0.7018875649056506
3,7,4,30,0.0031524615,0.6510692819078161
3,8,4,30,0.0005841805,0.6247144663175253
3,9,4,30,0.0012440464999999,0.7676378386594307
3,10,4,30,4.857649999999999e-05,0.7525363224093413
3,11,4,30,2.9275000000000003e-05,0.8073812090981336
3,12,4,30,0.0001477535,0.8281521149327885
3,13,4,30,1.5529999999999905e-06,0.864456230699506
3,14,4,30,1.9915499999999976e-05,0.8067601275678908
3,5,4,40,0.0012177609999999,0.5820599411140693
3,6,4,40,0.0013613385,0.6693385104275033
3,7,4,40,0.001448269,0.6403588182653938
3,8,4,40,0.0011660384999999,0.6802294423222224
3,9,4,40,4.5395499999999976e-05,0.7518657502781154
3,10,4,40,0.001039011,0.7724204228147291
3,11,4,40,2.3718999999999984e-05,0.8048696857397173
3,12,4,40,3.290750000000001e-05,0.8506566263760307
3,13,4,40,2.5595500000000016e-05,0.8919553791055375
3,14,4,40,6.730999999999998e-06,0.921431808169232
3,5,4,50,0.003945753,0.5562608800654918
3,6,4,50,0.000537627,0.6895641091926332
3,7,4,50,0.001412846,0.68457614640514
3,8,4,50,0.0012068455,0.7745747584407375
3,9,4,50,0.000616421,0.6256354747487183
3,10,4,50,0.000280409,0.8072776675727491
3,11,4,50,1.0024500000000002e-05,0.7924435297914914
3,12,4,50,1.0459999999999954e-05,0.8491323795013956
3,13,4,50,8.847999999999994e-06,0.875991619944851
3,14,4,50,1.0375000000000038e-06,0.8501429263151461
3,5,8,10,0.000566349,0.6346581608084044
3,6,8,10,0.0026831124999999,0.6560829238813966
3,7,8,10,0.0011828275,0.688289750250585
3,8,8,10,0.0001317545,0.762138496887441
3,9,8,10,0.0008513555,0.7338201962093615
3,10,8,10,0.000670117,0.8333516739731008
3,11,8,10,1.1984000000000036e-05,0.8878790201021072
3,12,8,10,3.1694999999999846e-06,0.8590239542071665
3,13,8,10,2.925000000000012e-07,0.9030712514230764
3,14,8,10,1.1176999999999985e-05,0.9116223072497156
3,5,8,20,9.840349999999998e-05,0.631515056470068
