n,d,n_circuit,n_gen,cost
4,5,32,10,0.4550725360755055
4,6,32,10,0.4680581947037874
4,7,32,10,0.546911395054822
4,8,32,10,0.5886978421149108
4,9,32,10,0.5544463290653046
4,10,32,10,0.6128019941798065
4,11,32,10,0.6461849801361376
4,12,32,10,0.6357012799982023
4,13,32,10,0.705250467694763
4,14,32,10,0.7224271820945776
4,15,32,10,0.77779
4,16,32,10,0.78844
4,17,32,10,0.79729
4,18,32,10,0.8569709590534369
4,19,32,10,0.8418350841992831
4,20,32,10,0.8843196035901284
4,21,32,10,0.8773572863834801
4,22,32,10,0.890857996130418
4,23,32,10,0.8984766250622519
4,24,32,10,0.919886065254915
4,25,32,10,0.9149487045467162
4,26,32,10,0.9274839195849008
4,27,32,10,0.951226049994512
4,28,32,10,0.936293718677787
4,29,32,10,0.9570040117942182
4,5,32,20,0.4715024072866928
4,6,32,20,0.481243289176064
4,7,32,20,0.54114519691382
4,8,32,20,0.6068386362776061
4,9,32,20,0.593888220290167
4,10,32,20,0.6236997583207318
4,11,32,20,0.6596826662418636
4,12,32,20,0.65405623741421
4,13,32,20,0.6931757936193762
4,14,32,20,0.7608942447044451
4,15,32,20,0.73519
4,16,32,20,0.77025
4,17,32,20,0.7792299999999999
4,18,32,20,0.8345836837675717
4,19,32,20,0.8544887806107383
4,20,32,20,0.8547838298212673
4,21,32,20,0.8842472698971576
4,22,32,20,0.9009440782118376
4,23,32,20,0.9063701051937126
4,24,32,20,0.9094827458047464
4,25,32,20,0.9263103804683548
4,26,32,20,0.9402948798831472
4,27,32,20,0.9383710599825518
4,28,32,20,0.9464223814141366
4,29,32,20,0.9545071442648554
4,5,32,30,0.4799147095210869
4,6,32,30,0.5290263646959701
4,7,32,30,0.571926984110547
4,8,32,30,0.5759118438958196
4,9,32,30,0.6202893476299826
4,10,32,30,0.6271039502711313
4,11,32,30,0.6529342102987177
4,12,32,30,0.7006836124702045
4,13,32,30,0.6758847356415878
4,14,32,30,0.714199400058124
4,15,32,30,0.7640800000000001
4,16,32,30,0.7798
4,17,32,30,0.8352725187263648
4,18,32,30,0.8883434097963541
4,19,32,30,0.8713915160347294
4,20,32,30,0.8694862977401939
4,21,32,30,0.8748795783991037
4,22,32,30,0.890952869972805
4,23,32,30,0.9203652429017944
4,24,32,30,0.92161684588349
4,25,32,30,0.919700422150713
4,26,32,30,0.9281720520135608
4,27,32,30,0.939521993472208
4,28,32,30,0.946659597127118
4,29,32,30,0.9482624582352122
4,5,32,40,0.5268333838298608
4,6,32,40,0.508362050684674
4,7,32,40,0.5325192525752542
4,8,32,40,0.5266641693311962
4,9,32,40,0.6367865282659531
4,10,32,40,0.6178150752772777
4,11,32,40,0.6318223494490792
4,12,32,40,0.6845353084587852
4,13,32,40,0.7785732691156161
4,14,32,40,0.7364720638472297
4,15,32,40,0.7945499999999999
4,16,32,40,0.78524
4,17,32,40,0.808
4,18,32,40,0.8574743923722963
4,19,32,40,0.8622090825654671
4,20,32,40,0.8673687912145815
4,21,32,40,0.8645016071160102
4,22,32,40,0.9075560740655392
4,23,32,40,0.8916695050870171
4,24,32,40,0.921889207544243
4,25,32,40,0.918665925245596
4,26,32,40,0.9215030107869742
4,27,32,40,0.93568838961223
4,28,32,40,0.947094538317877
4,29,32,40,0.946308051622514
4,5,32,50,0.4525152459089241
4,6,32,50,0.5159592359706912
4,7,32,50,0.5336196505171077
4,8,32,50,0.6205284469837437
4,9,32,50,0.6016668846921389
4,10,32,50,0.6084212733557772
4,11,32,50,0.6606270266547243
4,12,32,50,0.6934526450246553
4,13,32,50,0.7323529942789242
4,14,32,50,0.7454139357369363
4,15,32,50,0.76196
4,16,32,50,0.76579
4,17,32,50,0.7807199999999999
4,18,32,50,0.8599131906561579
4,19,32,50,0.8702365611815412
4,20,32,50,0.872978162158496
4,21,32,50,0.9037261623554836
4,22,32,50,0.895074584179933
4,23,32,50,0.902345592401276
4,24,32,50,0.9234352418670132
4,25,32,50,0.9249727568312818
4,26,32,50,0.9254137051167446
4,27,32,50,0.934227033805202
4,28,32,50,0.9390747529735266
4,29,32,50,0.9532689041948192
5,5,4,10,0.2518380311819598
5,6,4,10,0.2685535746316897
5,7,4,10,0.0
5,8,4,10,0.0
5,9,4,10,0.0
5,10,4,10,0.0
5,11,4,10,0.0
5,12,4,10,0.0
5,13,4,10,0.0
5,14,4,10,0.0
5,15,4,10,0.0
5,16,4,10,0.0
5,17,4,10,0.0
5,18,4,10,0.0
5,19,4,10,0.0
5,20,4,10,0.6240165547823293
5,21,4,10,0.6657283702256718
5,22,4,10,0.688346303873397
5,23,4,10,0.7016330995495643
5,24,4,10,0.7016480822156891
5,25,4,10,0.7244111974781392
5,26,4,10,0.7711134184677085
5,27,4,10,0.7710532797267446
5,28,4,10,0.7798228267097981
5,29,4,10,0.8198792983575537
5,30,4,10,0.8230234608531853
5,31,4,10,0.7988091453642993
5,32,4,10,0.8512207614004458
5,33,4,10,0.8636563890394384
5,34,4,10,0.8592114991151106
5,35,4,10,0.8555168362623847
5,36,4,10,0.8585714226293669
5,37,4,10,0.8830300472569512
5,38,4,10,0.8967678908761105
5,39,4,10,0.8892936635079163
5,40,4,10,0.0
5,41,4,10,0.0
5,42,4,10,0.0
5,43,4,10,0.0
5,44,4,10,0.0
5,45,4,10,0.0
5,46,4,10,0.0
5,47,4,10,0.0
5,48,4,10,0.0
5,49,4,10,0.0
5,5,4,20,0.235066266207725
5,6,4,20,0.0
5,7,4,20,0.0
5,8,4,20,0.0
5,9,4,20,0.0
5,10,4,20,0.0
5,11,4,20,0.0
5,12,4,20,0.0
5,13,4,20,0.0
5,14,4,20,0.0
5,15,4,20,0.0
5,16,4,20,0.0
5,17,4,20,0.0
5,18,4,20,0.0
5,19,4,20,0.0
5,20,4,20,0.654938670665443
5,21,4,20,0.691706024782994
5,22,4,20,0.6981514758602376
5,23,4,20,0.6966211239350873
5,24,4,20,0.724614437648132
5,25,4,20,0.7624028063387157
5,26,4,20,0.8114272047400568
5,27,4,20,0.767856896124518
5,28,4,20,0.7770496241802145
5,29,4,20,0.8084248504283316
5,30,4,20,0.8216193665434369
5,31,4,20,0.8132016877311861
5,32,4,20,0.8538521971367347
5,33,4,20,0.8653017043026707
5,34,4,20,0.8524886481333139
5,35,4,20,0.8734735649805867
5,36,4,20,0.8802215750492473
5,37,4,20,0.0
5,38,4,20,0.0
5,39,4,20,0.0
5,40,4,20,0.0
5,41,4,20,0.0
5,42,4,20,0.0
5,43,4,20,0.0
5,44,4,20,0.0
5,45,4,20,0.0
5,46,4,20,0.0
5,47,4,20,0.0
5,48,4,20,0.0
5,49,4,20,0.0
5,5,4,30,0.238286055034764
5,6,4,30,0.0
5,7,4,30,0.0
5,8,4,30,0.0
5,9,4,30,0.0
5,10,4,30,0.0
5,11,4,30,0.0
5,12,4,30,0.0
5,13,4,30,0.0
5,14,4,30,0.0
5,15,4,30,0.0
5,16,4,30,0.0
5,17,4,30,0.0
5,18,4,30,0.0
5,19,4,30,0.0
5,20,4,30,0.6385079593002503
5,21,4,30,0.6563611493127798
5,22,4,30,0.7377886331406979
5,23,4,30,0.7311954832071764
5,24,4,30,0.7278280457187374
5,25,4,30,0.7685483928035166
